text,label
"living wolf / wolf door ( dvd discovery channel's top-selling documentary ! two heart-warming , ... <url>",neg
"phone slip hand instead trying grab stand go "" <<oh>> <<no>> phone "" positive smart thinking ...",neg
"[ negative torrent ] sandhurst ( english - pdtv royal military academy sandhurst ( rmas ) , commonly known simply sand ... <url>",neg
"<user> lol , positive cute",pos
"positive wow , positive thank . <hashtag> uber 2 0 1 2 rt <user> naging active ulit ako sa twitter dahil sa <hashtag> pb bt ee n 4 <user> <user>",pos
"/ kent , half team look positive like beat pussy ! <user>",pos
<user> bc life u tell .,neg
able ta see summer gon b negative rough,neg
"asics gel kinsei <number> t987n <number> ( women's <number> , white capri blue lightning asics's premiere running shoe ... <url>",neg
"couple sitting next left , positive well negative fuck em , hubby negative awkward anyways >",neg
<user> <user> <user> there's positive like <number> picture booklet though ...,neg
positive peerless oneclean keyboard positive cleaner ( am85200 specifically made positive clean standard notebook computer keyboard ... <url>,neg
special : chinese series adjective commonly used classification book dictionary ( paperback <url>,neg
va happenin boy ? rt remember <url>,pos
"score rush positive available world , browser : <url> please try !",pos
green initiative remanufactured black laser toner cartridge hp 55a ( ce255a remanufactured replacement cart ... <url>,neg
"watch live tv ( pakistan live tv streaming , recorded news video , broadband web tv station video ... <url>",neg
<<fu>> . getting tweet negative sad stuff,neg
i'm one phone daja anymore,neg
<hashtag> papa gin o pizza positive best,pos
<user> haha hey josh could get t-shirt ? <hashtag> no,pos
<user> negative sorry thought followed x,neg
new band day : keyboard kid <number> ( <number> positive fancy positive godlike figure keyboard kid ... <url>,neg
<user> <user> ekk i'm positive excited ! going saturday positive right <emphasis>,pos
""" god negative forsaken positive right positive loved , positive loved , positive loved ... "" maca comba",pos
<user> laugh one favourite thing world negative shame face .,pos
"<user> yea asleep gonna ping ya say reply till <number> suin , u negative miss ?",neg
<user> sound positive cute want watch positive cute thing,neg
"rt <user> condom take feeling away , might last longer fella",pos
<user> coming school tomorrow <emphasis>,neg
<user> kainggit <emphasis> wanted watch positive well .,neg
<user> positive cute ! usually paint nail simple colour cause time customize em ' cartoon etc .,neg
positive gifted one lisa vaughn ~ positive lucky <hashtag> 1 3 g bios today ! feel special 99c kindle <url> via <user>,pos
negative ugh idk got hope <emphasis> plan never positive work <emphasis>,neg
positive great night positive sweet boyfriend ! <user>,pos
<user> bet didn't get much earlier speaking bet ... certain team positive support let tonight ! positive happy ! x,pos
positive nice walking fye yesterday asking <user> cd,pos
"also , name team ' power ranger ' ... take back childhood xx",pos
<user> thanks follow <hashtag> team follow back,pos
negative hate negative worst feeling ever negative sorry baby d:,neg
treat positive like queen & & i'll treat positive like king treat positive like game & & i'll show it's played !,pos
"also , name team ' power ranger ' ... take back childhood xx",pos
could bos day,pos
<user> i'd hoped still don't think watch,neg
10h10 <user>,neg
"' oomf brace look positive good though , . . <user>",pos
v intrstng tht muslim council britain opposed drop bishop lord frm <number> <number> ( offendd oppressd <url>,neg
"hye q , i'm negative crush <number> year , i'm negative sad notice <hashtag> true negative confession ahhaahahah iman punya conffesions dkt q !",neg
negative cold i'm running sweatpants ... don't want pull jean <hashtag> wah,neg
<user> thanks following <user> online shopping partner .,pos
"<number> word , <number> second , <number> moment : "" positive thank god . "" rt positive thankful today , everyday !",pos
"idk young people negative worrying finding "" positive right one "" we're young af still got negative shit load time find negative chill",pos
<user> already know <<doe>>,pos
<user> please follow ? <number>,pos
spellcraft teen : magickal guide writing & casting spell ( paperback wiccan magick teen written ... <url>,neg
<<ow>> feel positive like never anyone text anymore . someone new text please ?,neg
sonar proof nessy's real ? world's positive worth living,pos
"<user> followme please ? iv waiting since forever ! ( yes , say "" since forever "" ) least tweet <emphasis> iloveyou jai <number>",pos
/ <user> negative goofy self negative fuck w / tuff know wassup follow negative punk,pos
"spicy world green pistachio , <number> - ounce pouch ( pack <number> whole raw green pistachio . <url>",neg
never p ... im missing,neg
lower back negative killing past week,neg
"tokoy rug - cranberry antique ( <number> ' <number> "" x <number> ' <number> "" rectangle rug , layer detail come together create ... <url>",neg
"it's positive amazing pay attention , everything start making sense , participate sound positive educated . <hashtag> positive yay",pos
"feel positive like negative missed partying last night , least i'm hungover , reason positive work",neg
<user> everything going okay,pos
today pissed hole level . >,neg
<user> <user> yeah lianne ! aw could go road trip everything ! aw would positive amazing,neg
<user> ? <url>,pos
<user> bet <hashtag> dad forgot to get kerosine trending worldwide tweet <hashtag> negative stupid hash tag,pos
leg really negative hurt ...,neg
<user> today bcc negative refused assist find bag left <number> bus policy wait handed . wasn't . thanks bcc,neg
<user> * waving * hey woman,pos
<hashtag> if i cant have you i'm positive willing wait another life time finally .,pos
"<user> life's short wear something it's "" positive comfy . "" * - strongly negative disagree",pos
"fed <user> <user> leslie , rukhma <user>",neg
<user> wish dc pumped positive ready go @ midnight <emphasis>,pos
"<user> economist agree higher vat's r way go ( hst / gst <number> u ) , try selling double-double mass !",pos
"<user> near stratum lang , <user> i'm sure you'll find .",pos
jus wanna positive happy,neg
early morning / <user>,pos
new people following don't know ... ?,pos
", ldmfkreiolzxnceiwojf file comecou agora e eu ja chorando <emphasis> titanic , negative sad ?",neg
"<user> righthaha ! you're positive excited , positive right course , can't wait , . ) )",pos
